,Model,Comparison,Property,KS stats,KS p-value,Ratio,Mut_sd
0,Mixed,SSD,Transcription rate,0.1680975609756097,0.0003252727748499,1/2,0.1
1,Mixed,SSD,Translation rate,0.1370609756097561,0.0060160082691614,1/2,0.1
2,Mixed,SSD,Protein abundance,0.1110243902439024,0.0438596670738545,1/2,0.1
3,Mixed,SSD,Divergence ratio,0.1661829268292683,0.0003962607056146,1/2,0.1
4,No Cost,SSD,Transcription rate,0.136780487804878,0.0061600837084168,1/2,0.1
5,No Cost,SSD,Translation rate,0.1019756097560975,0.0793291675379439,1/2,0.1
6,No Cost,SSD,Protein abundance,0.0990243902439024,0.0951978338348495,1/2,0.1
7,No Cost,SSD,Divergence ratio,0.1583414634146341,0.0008682347299767,1/2,0.1
8,ADS,SSD,Transcription rate,0.2500853658536585,7.785687317074519e-09,1/2,0.1
9,ADS,SSD,Translation rate,0.1975731707317073,1.1635901681739114e-05,1/2,0.1
10,ADS,SSD,Protein abundance,0.1023780487804878,0.0773479675762002,1/2,0.1
11,ADS,SSD,Divergence ratio,0.3033536585365853,7.331912854624535e-13,1/2,0.1
12,Minimal,SSD,Transcription rate,0.2625853658536585,1.049109910056245e-09,1/2,0.1
13,Minimal,SSD,Translation rate,0.2125731707317073,1.7286500765267832e-06,1/2,0.1
14,Minimal,SSD,Protein abundance,0.1133780487804878,0.0372856143989939,1/2,0.1
15,Minimal,SSD,Divergence ratio,0.3105975609756097,1.8118839761882557e-13,1/2,0.1
16,Mixed,SSD,Transcription rate,0.1485853658536585,0.0021841233617291,1/2,0.1
17,Mixed,SSD,Translation rate,0.102060975609756,0.0789078350843128,1/2,0.1
18,Mixed,SSD,Protein abundance,0.0975243902439024,0.1042295463581536,1/2,0.1
19,Mixed,SSD,Divergence ratio,0.1706585365853658,0.0002488828567361,1/2,0.1
20,No Cost,SSD,Transcription rate,0.1325853658536585,0.0087211488377818,1/2,0.1
21,No Cost,SSD,Translation rate,0.0915731707317073,0.1473106642939046,1/2,0.1
22,No Cost,SSD,Protein abundance,0.0994024390243902,0.0930247788885967,1/2,0.1
23,No Cost,SSD,Divergence ratio,0.1437317073170731,0.003380237265419,1/2,0.1
24,ADS,SSD,Transcription rate,0.2500853658536585,7.785687317074519e-09,1/2,0.1
25,ADS,SSD,Translation rate,0.1687317073170731,0.0003045075569778,1/2,0.1
26,ADS,SSD,Protein abundance,0.1140243902439024,0.035637995493401,1/2,0.1
27,ADS,SSD,Divergence ratio,0.2770975609756098,9.00002294912383e-11,1/2,0.1
28,Minimal,SSD,Transcription rate,0.2260853658536585,2.7424066162407e-07,1/2,0.1
29,Minimal,SSD,Translation rate,0.2102317073170731,2.350972243769789e-06,1/2,0.1
30,Minimal,SSD,Protein abundance,0.0978292682926829,0.1023399844576431,1/2,0.1
31,Minimal,SSD,Divergence ratio,0.2980975609756097,2.0023982472139323e-12,1/2,0.1
32,Mixed,SSD,Transcription rate,0.1395975609756097,0.0048478002244022,1/2,0.1
33,Mixed,SSD,Translation rate,0.119560975609756,0.0239453281900239,1/2,0.1
34,Mixed,SSD,Protein abundance,0.0928292682926829,0.1371856126262545,1/2,0.1
35,Mixed,SSD,Divergence ratio,0.1566829268292683,0.0010200088479789,1/2,0.1
36,No Cost,SSD,Transcription rate,0.1290853658536585,0.0115589960980219,1/2,0.1
37,No Cost,SSD,Translation rate,0.0905731707317073,0.1557904158024157,1/2,0.1
38,No Cost,SSD,Protein abundance,0.107,0.0574397106502537,1/2,0.1
39,No Cost,SSD,Divergence ratio,0.1517317073170731,0.0016325329529286,1/2,0.1
40,ADS,SSD,Transcription rate,0.2475853658536585,1.1482561679265757e-08,1/2,0.1
41,ADS,SSD,Translation rate,0.1952560975609756,1.5423452225049594e-05,1/2,0.1
42,ADS,SSD,Protein abundance,0.1005243902439024,0.0868282813400143,1/2,0.1
43,ADS,SSD,Divergence ratio,0.3035975609756097,7.039924199148119e-13,1/2,0.1
44,Minimal,SSD,Transcription rate,0.2315853658536585,1.253179323645881e-07,1/2,0.1
45,Minimal,SSD,Translation rate,0.1964756097560975,1.3302784224955566e-05,1/2,0.1
46,Minimal,SSD,Protein abundance,0.1090243902439024,0.0502146534846319,1/2,0.1
47,Minimal,SSD,Divergence ratio,0.2970975609756097,2.419731082170529e-12,1/2,0.1
48,Mixed,SSD,Transcription rate,0.0531463414634146,0.7633387970873649,10,0.1
49,Mixed,SSD,Translation rate,0.3265609756097561,8.659739592076221e-15,10,0.1
50,Mixed,SSD,Protein abundance,0.1095243902439024,0.0485556059152727,10,0.1
51,Mixed,SSD,Divergence ratio,0.2360487804878048,6.543457542473874e-08,10,0.1
52,No Cost,SSD,Transcription rate,0.0501585365853658,0.8202356494432437,10,0.1
53,No Cost,SSD,Translation rate,0.301890243902439,9.756639940405876e-13,10,0.1
54,No Cost,SSD,Protein abundance,0.1033780487804878,0.0726063732448343,10,0.1
55,No Cost,SSD,Divergence ratio,0.2335487804878049,9.432221592664548e-08,10,0.1
56,ADS,SSD,Transcription rate,0.0463414634146341,0.8843790797006101,10,0.1
57,ADS,SSD,Translation rate,0.2845609756097561,2.402744669893764e-11,10,0.1
58,ADS,SSD,Protein abundance,0.1063780487804878,0.0598341919148547,10,0.1
59,ADS,SSD,Divergence ratio,0.2155487804878048,1.1644255203391296e-06,10,0.1
60,Minimal,SSD,Transcription rate,0.0383414634146341,0.9723949107430564,10,0.1
61,Minimal,SSD,Translation rate,0.2869146341463414,1.5773049533152058e-11,10,0.1
62,Minimal,SSD,Protein abundance,0.1053292682926829,0.0640615832399245,10,0.1
63,Minimal,SSD,Divergence ratio,0.2195487804878048,6.782790168413655e-07,10,0.1
64,Mixed,SSD,Transcription rate,0.049780487804878,0.8270794243571871,10,0.1
65,Mixed,SSD,Translation rate,0.325890243902439,9.880984919163892e-15,10,0.1
66,Mixed,SSD,Protein abundance,0.1029024390243902,0.0748264491080514,10,0.1
67,Mixed,SSD,Divergence ratio,0.2250487804878048,3.172326245026724e-07,10,0.1
68,No Cost,SSD,Transcription rate,0.0385609756097561,0.9708999765647564,10,0.1
69,No Cost,SSD,Translation rate,0.310890243902439,1.701971896750365e-13,10,0.1
70,No Cost,SSD,Protein abundance,0.1128292682926829,0.0387364611497151,10,0.1
71,No Cost,SSD,Divergence ratio,0.2297560975609756,1.629637530475847e-07,10,0.1
72,ADS,SSD,Transcription rate,0.0361463414634146,0.9845207798658266,10,0.1
73,ADS,SSD,Translation rate,0.2780609756097561,7.591105521953523e-11,10,0.1
74,ADS,SSD,Protein abundance,0.1028292682926829,0.0751768562032392,10,0.1
75,ADS,SSD,Divergence ratio,0.2123536585365853,1.7797131182106796e-06,10,0.1
76,Minimal,SSD,Transcription rate,0.0426463414634146,0.9336789957269588,10,0.1
77,Minimal,SSD,Translation rate,0.2930853658536585,5.102029909664907e-12,10,0.1
78,Minimal,SSD,Protein abundance,0.1108292682926829,0.044447799736094,10,0.1
79,Minimal,SSD,Divergence ratio,0.2180487804878048,8.316609261260766e-07,10,0.1
80,Mixed,SSD,Transcription rate,0.0421463414634146,0.9392341556758272,10,0.1
81,Mixed,SSD,Translation rate,0.3125853658536585,1.212363542890671e-13,10,0.1
82,Mixed,SSD,Protein abundance,0.1033292682926829,0.072831699742516,10,0.1
83,Mixed,SSD,Divergence ratio,0.2325487804878049,1.0905424685514477e-07,10,0.1
84,No Cost,SSD,Transcription rate,0.0465609756097561,0.8809918715665187,10,0.1
85,No Cost,SSD,Translation rate,0.294890243902439,3.65019126036259e-12,10,0.1
86,No Cost,SSD,Protein abundance,0.1125243902439024,0.0395630729566537,10,0.1
87,No Cost,SSD,Divergence ratio,0.2273536585365853,2.293500559469308e-07,10,0.1
88,ADS,SSD,Transcription rate,0.0410853658536585,0.9500857525787942,10,0.1
89,ADS,SSD,Translation rate,0.2775609756097561,8.283818075938143e-11,10,0.1
90,ADS,SSD,Protein abundance,0.1060243902439024,0.0612314553904457,10,0.1
91,ADS,SSD,Divergence ratio,0.2145487804878048,1.3307275170681976e-06,10,0.1
92,Minimal,SSD,Transcription rate,0.0482195121951219,0.8543147337116199,10,0.1
93,Minimal,SSD,Translation rate,0.2745609756097561,1.3939394083450907e-10,10,0.1
94,Minimal,SSD,Protein abundance,0.1178292682926829,0.0271715708207326,10,0.1
95,Minimal,SSD,Divergence ratio,0.2115487804878048,1.9785535433358703e-06,10,0.1
96,Mixed,SSD,Transcription rate,0.1115975609756097,0.0421713327462787,1,0.1
97,Mixed,SSD,Translation rate,0.1340609756097561,0.0077266720904609,1,0.1
98,Mixed,SSD,Protein abundance,0.0910243902439024,0.151910963569081,1,0.1
99,Mixed,SSD,Divergence ratio,0.1156829268292683,0.0316984860731228,1,0.1
100,No Cost,SSD,Transcription rate,0.1040853658536585,0.0694021230883383,1,0.1
101,No Cost,SSD,Translation rate,0.1060609756097561,0.0610883395020377,1,0.1
102,No Cost,SSD,Protein abundance,0.0935243902439024,0.1318292516751181,1,0.1
103,No Cost,SSD,Divergence ratio,0.0813414634146341,0.253515630133157,1,0.1
104,ADS,SSD,Transcription rate,0.1585853658536585,0.0008478888379104,1,0.1
105,ADS,SSD,Translation rate,0.1430731707317073,0.0035827461819141,1,0.1
106,ADS,SSD,Protein abundance,0.1060243902439024,0.0612314553904457,1,0.1
107,ADS,SSD,Divergence ratio,0.1925975609756097,2.1219344890077707e-05,1,0.1
108,Minimal,SSD,Transcription rate,0.1585853658536585,0.0008478888379104,1,0.1
109,Minimal,SSD,Translation rate,0.1432317073170731,0.0035328771562713,1,0.1
110,Minimal,SSD,Protein abundance,0.1018292682926829,0.0800591864293618,1,0.1
111,Minimal,SSD,Divergence ratio,0.2025975609756097,6.243227399949092e-06,1,0.1
112,Mixed,SSD,Transcription rate,0.1165853658536585,0.0297199048438584,1,0.1
113,Mixed,SSD,Translation rate,0.1525609756097561,0.0015104953345643,1,0.1
114,Mixed,SSD,Protein abundance,0.0986097560975609,0.0976238496182749,1,0.1
115,Mixed,SSD,Divergence ratio,0.1161829268292683,0.0305884519160053,1,0.1
116,No Cost,SSD,Transcription rate,0.093780487804878,0.1299025354018382,1,0.1
117,No Cost,SSD,Translation rate,0.0940609756097561,0.1278211323561043,1,0.1
118,No Cost,SSD,Protein abundance,0.1053292682926829,0.0640615832399245,1,0.1
119,No Cost,SSD,Divergence ratio,0.0861829268292682,0.1977088133155488,1,0.1
120,ADS,SSD,Transcription rate,0.165780487804878,0.0004129261778167,1,0.1
121,ADS,SSD,Translation rate,0.1340731707317073,0.0077190286238805,1,0.1
122,ADS,SSD,Protein abundance,0.0945243902439024,0.1244254901926705,1,0.1
123,ADS,SSD,Divergence ratio,0.2000975609756097,8.527688457826699e-06,1,0.1
124,Minimal,SSD,Transcription rate,0.1690853658536585,0.0002935149771664,1,0.1
125,Minimal,SSD,Translation rate,0.1215731707317073,0.0206261892898331,1,0.1
126,Minimal,SSD,Protein abundance,0.1078292682926829,0.0543802962039057,1,0.1
127,Minimal,SSD,Divergence ratio,0.2040975609756097,5.168029339697178e-06,1,0.1
128,Mixed,SSD,Transcription rate,0.1110853658536585,0.0436770939946411,1,0.1
129,Mixed,SSD,Translation rate,0.1300609756097561,0.0106939954973425,1,0.1
130,Mixed,SSD,Protein abundance,0.1120243902439024,0.0409526433040967,1,0.1
131,Mixed,SSD,Divergence ratio,0.1121829268292683,0.0405073750981679,1,0.1
132,No Cost,SSD,Transcription rate,0.0860853658536585,0.1987301002264697,1,0.1
133,No Cost,SSD,Translation rate,0.104060975609756,0.0695142118328789,1,0.1
134,No Cost,SSD,Protein abundance,0.1063292682926829,0.0600254705097615,1,0.1
135,No Cost,SSD,Divergence ratio,0.0901829268292682,0.1591996816140799,1,0.1
136,ADS,SSD,Transcription rate,0.1690853658536585,0.0002935149771664,1,0.1
137,ADS,SSD,Translation rate,0.1452317073170731,0.00295800082135,1,0.1
138,ADS,SSD,Protein abundance,0.0957073170731707,0.11610627200905,1,0.1
139,ADS,SSD,Divergence ratio,0.2175975609756097,8.839733683929651e-07,1,0.1
140,Minimal,SSD,Transcription rate,0.1725853658536585,0.0002029484356118,1,0.1
141,Minimal,SSD,Translation rate,0.1485731707317073,0.0021865035672016,1,0.1
142,Minimal,SSD,Protein abundance,0.1063292682926829,0.0600254705097615,1,0.1
143,Minimal,SSD,Divergence ratio,0.1983048780487805,1.063877747198294e-05,1,0.1
144,Mixed,SSD,Transcription rate,0.0975975609756097,0.103770740818197,2,0.1
145,Mixed,SSD,Translation rate,0.173560975609756,0.0001828546129943,2,0.1
146,Mixed,SSD,Protein abundance,0.1133780487804878,0.0372856143989939,2,0.1
147,Mixed,SSD,Divergence ratio,0.1113536585365853,0.0428849177001221,2,0.1
148,No Cost,SSD,Transcription rate,0.056780487804878,0.6895337972403132,2,0.1
149,No Cost,SSD,Translation rate,0.141560975609756,0.0040901454518166,2,0.1
150,No Cost,SSD,Protein abundance,0.0973292682926829,0.1054565433961736,2,0.1
151,No Cost,SSD,Divergence ratio,0.0950487804878048,0.1206884030779477,2,0.1
152,ADS,SSD,Transcription rate,0.0985853658536585,0.0977713674116232,2,0.1
153,ADS,SSD,Translation rate,0.1035487804878048,0.0718248256450071,2,0.1
154,ADS,SSD,Protein abundance,0.1058292682926829,0.0620154659416223,2,0.1
155,ADS,SSD,Divergence ratio,0.1023414634146341,0.0775285982800012,2,0.1
156,Minimal,SSD,Transcription rate,0.1045853658536585,0.0672111178077944,2,0.1
157,Minimal,SSD,Translation rate,0.0905609756097561,0.1558994003207562,2,0.1
158,Minimal,SSD,Protein abundance,0.0980243902439024,0.1011431606230657,2,0.1
159,Minimal,SSD,Divergence ratio,0.1118414634146341,0.0414728269449196,2,0.1
160,Mixed,SSD,Transcription rate,0.0830853658536585,0.2321984394666434,2,0.1
161,Mixed,SSD,Translation rate,0.1715609756097561,0.0002262632030674,2,0.1
162,Mixed,SSD,Protein abundance,0.0985243902439024,0.0981330399274914,2,0.1
163,Mixed,SSD,Divergence ratio,0.1000487804878048,0.0894179261802111,2,0.1
164,No Cost,SSD,Transcription rate,0.0630853658536585,0.5593696172310402,2,0.1
165,No Cost,SSD,Translation rate,0.1295609756097561,0.0111296415501177,2,0.1
166,No Cost,SSD,Protein abundance,0.0965243902439024,0.1106365357085717,2,0.1
167,No Cost,SSD,Divergence ratio,0.0879634146341463,0.1797644088640506,2,0.1
168,ADS,SSD,Transcription rate,0.1015853658536585,0.0812885113060359,2,0.1
169,ADS,SSD,Translation rate,0.103560975609756,0.0717687601059968,2,0.1
170,ADS,SSD,Protein abundance,0.0967073170731707,0.1094376611449435,2,0.1
171,ADS,SSD,Divergence ratio,0.1085365853658536,0.0518816748183483,2,0.1
172,Minimal,SSD,Transcription rate,0.1120853658536585,0.0407806341910523,2,0.1
173,Minimal,SSD,Translation rate,0.103060975609756,0.0740850336147331,2,0.1
174,Minimal,SSD,Protein abundance,0.1063292682926829,0.0600254705097615,2,0.1
175,Minimal,SSD,Divergence ratio,0.1021829268292682,0.0783020465862626,2,0.1
176,Mixed,SSD,Transcription rate,0.0852195121951219,0.2079795524343435,2,0.1
177,Mixed,SSD,Translation rate,0.1690609756097561,0.0002942480708088,2,0.1
178,Mixed,SSD,Protein abundance,0.0940243902439024,0.1280837969043647,2,0.1
179,Mixed,SSD,Divergence ratio,0.0974634146341463,0.1046171732094952,2,0.1
180,No Cost,SSD,Transcription rate,0.0715853658536585,0.3990332206201156,2,0.1
181,No Cost,SSD,Translation rate,0.1260609756097561,0.0146551520382161,2,0.1
182,No Cost,SSD,Protein abundance,0.1078292682926829,0.0543802962039057,2,0.1
183,No Cost,SSD,Divergence ratio,0.0802560975609756,0.2674921379774223,2,0.1
184,ADS,SSD,Transcription rate,0.1010853658536585,0.0838610013004095,2,0.1
185,ADS,SSD,Translation rate,0.0975487804878048,0.1040836599530529,2,0.1
186,ADS,SSD,Protein abundance,0.1051097560975609,0.0649752222491638,2,0.1
187,ADS,SSD,Divergence ratio,0.0975365853658536,0.1041572329281255,2,0.1
188,Minimal,SSD,Transcription rate,0.1185853658536585,0.0257181368892877,2,0.1
189,Minimal,SSD,Translation rate,0.1060609756097561,0.0610883395020377,2,0.1
190,Minimal,SSD,Protein abundance,0.1118292682926829,0.041506751568764,2,0.1
191,Minimal,SSD,Divergence ratio,0.0998414634146341,0.0905634543326528,2,0.1
192,Mixed,SSD,Transcription rate,0.0788170731707317,0.2868590464557266,3,0.1
193,Mixed,SSD,Translation rate,0.1860609756097561,4.561731416374837e-05,3,0.1
194,Mixed,SSD,Protein abundance,0.1068292682926829,0.0580903982318383,3,0.1
195,Mixed,SSD,Divergence ratio,0.1380487804878049,0.0055333150194281,3,0.1
196,No Cost,SSD,Transcription rate,0.0501463414634146,0.8204794304352268,3,0.1
197,No Cost,SSD,Translation rate,0.1545609756097561,0.0012501023095975,3,0.1
198,No Cost,SSD,Protein abundance,0.1003292682926829,0.0878821172255244,3,0.1
199,No Cost,SSD,Divergence ratio,0.1208536585365853,0.0217629188305504,3,0.1
200,ADS,SSD,Transcription rate,0.0815853658536585,0.2504465944302348,3,0.1
201,ADS,SSD,Translation rate,0.1220609756097561,0.0198860655039516,3,0.1
202,ADS,SSD,Protein abundance,0.1160243902439024,0.03093677478132,3,0.1
203,ADS,SSD,Divergence ratio,0.0655487804878048,0.5103015908045453,3,0.1
204,Minimal,SSD,Transcription rate,0.0715975609756097,0.3988227623564279,3,0.1
205,Minimal,SSD,Translation rate,0.1355609756097561,0.0068226508875545,3,0.1
206,Minimal,SSD,Protein abundance,0.1108780487804878,0.0443000424976749,3,0.1
207,Minimal,SSD,Divergence ratio,0.0780487804878048,0.297612955359793,3,0.1
208,Mixed,SSD,Transcription rate,0.0690853658536585,0.4433538849272995,3,0.1
209,Mixed,SSD,Translation rate,0.1925609756097561,2.13120849253956e-05,3,0.1
210,Mixed,SSD,Protein abundance,0.0955243902439024,0.1173648831818333,3,0.1
211,Mixed,SSD,Divergence ratio,0.1255487804878048,0.0152476460359756,3,0.1
212,No Cost,SSD,Transcription rate,0.0578414634146341,0.6675487701770151,3,0.1
213,No Cost,SSD,Translation rate,0.1540609756097561,0.0013109634901655,3,0.1
214,No Cost,SSD,Protein abundance,0.1048780487804878,0.0659572566522752,3,0.1
215,No Cost,SSD,Divergence ratio,0.1233536585365853,0.0180376066331425,3,0.1
216,ADS,SSD,Transcription rate,0.068280487804878,0.4581769947914849,3,0.1
217,ADS,SSD,Translation rate,0.1310609756097561,0.009868614758785,3,0.1
218,ADS,SSD,Protein abundance,0.1086097560975609,0.051626025045149,3,0.1
219,ADS,SSD,Divergence ratio,0.0810487804878048,0.2572318103871435,3,0.1
220,Minimal,SSD,Transcription rate,0.0682195121951219,0.4593218004476828,3,0.1
221,Minimal,SSD,Translation rate,0.1360609756097561,0.0065434309229669,3,0.1
222,Minimal,SSD,Protein abundance,0.1055243902439024,0.0632554883186938,3,0.1
223,Minimal,SSD,Divergence ratio,0.0893536585365853,0.1666576165972392,3,0.1
224,Mixed,SSD,Transcription rate,0.0875853658536585,0.1834570175084157,3,0.1
225,Mixed,SSD,Translation rate,0.178780487804878,0.0001036431343632,3,0.1
226,Mixed,SSD,Protein abundance,0.1113780487804878,0.0428119675367476,3,0.1
227,Mixed,SSD,Divergence ratio,0.1360487804878049,0.0065500293292551,3,0.1
228,No Cost,SSD,Transcription rate,0.0505853658536585,0.8124189458822137,3,0.1
229,No Cost,SSD,Translation rate,0.1705609756097561,0.0002514539280121,3,0.1
230,No Cost,SSD,Protein abundance,0.1055243902439024,0.0632554883186938,3,0.1
231,No Cost,SSD,Divergence ratio,0.1150487804878048,0.0331581822147404,3,0.1
232,ADS,SSD,Transcription rate,0.0775975609756097,0.3040459382385753,3,0.1
233,ADS,SSD,Translation rate,0.1335609756097561,0.0080513946434733,3,0.1
234,ADS,SSD,Protein abundance,0.1010243902439024,0.0841793446001312,3,0.1
235,ADS,SSD,Divergence ratio,0.0793536585365853,0.2795292524755209,3,0.1
236,Minimal,SSD,Transcription rate,0.1030853658536585,0.0739666068139714,3,0.1
237,Minimal,SSD,Translation rate,0.1510609756097561,0.0017379567834153,3,0.1
238,Minimal,SSD,Protein abundance,0.1128780487804878,0.0386053501626763,3,0.1
239,Minimal,SSD,Divergence ratio,0.0825487804878048,0.2386149742593381,3,0.1
240,Mixed,SSD,Transcription rate,0.0707195121951219,0.4140845729548552,4,0.1
241,Mixed,SSD,Translation rate,0.2230609756097561,4.183476695063249e-07,4,0.1
242,Mixed,SSD,Protein abundance,0.1141097560975609,0.0354245611939123,4,0.1
243,Mixed,SSD,Divergence ratio,0.1624634146341463,0.000577632127208,4,0.1
244,No Cost,SSD,Transcription rate,0.0506463414634146,0.8112971908235572,4,0.1
245,No Cost,SSD,Translation rate,0.1905609756097561,2.7012112201685312e-05,4,0.1
246,No Cost,SSD,Protein abundance,0.0978780487804878,0.1020408986916381,4,0.1
247,No Cost,SSD,Divergence ratio,0.1563536585365853,0.0010528316802582,4,0.1
248,ADS,SSD,Transcription rate,0.0645853658536585,0.5292917484773636,4,0.1
249,ADS,SSD,Translation rate,0.1495609756097561,0.0019968696300416,4,0.1
250,ADS,SSD,Protein abundance,0.1025243902439024,0.0766368420558603,4,0.1
251,ADS,SSD,Divergence ratio,0.1080487804878048,0.0535955333288434,4,0.1
252,Minimal,SSD,Transcription rate,0.0655853658536585,0.5095920396089246,4,0.1
253,Minimal,SSD,Translation rate,0.172560975609756,0.000203468166452,4,0.1
254,Minimal,SSD,Protein abundance,0.0980243902439024,0.1011431606230657,4,0.1
255,Minimal,SSD,Divergence ratio,0.1280487804878048,0.0125463446762756,4,0.1
256,Mixed,SSD,Transcription rate,0.0695853658536585,0.4342774414272324,4,0.1
257,Mixed,SSD,Translation rate,0.2265609756097561,2.564730565701723e-07,4,0.1
258,Mixed,SSD,Protein abundance,0.1060243902439024,0.0612314553904457,4,0.1
259,Mixed,SSD,Divergence ratio,0.1518536585365853,0.0016140340024972,4,0.1
260,No Cost,SSD,Transcription rate,0.0486463414634146,0.8470217596464166,4,0.1
261,No Cost,SSD,Translation rate,0.1780609756097561,0.0001121929454849,4,0.1
262,No Cost,SSD,Protein abundance,0.1020243902439024,0.0790849286711857,4,0.1
263,No Cost,SSD,Divergence ratio,0.1567560975609756,0.0010127455141284,4,0.1
